book_id_csv,book_id
10,19161852
19,25899336
25,46164
28,255127
29,28251002
30,23168277
35,133394
37,16130
41,45252
43,43615
49,5526
51,5043
55,8138071
63,27523
64,20821043
66,428263
68,6480781
71,29430012
79,18775365
80,11387515
84,10884
92,22320
100,16981
105,27161156
109,11830394
111,18423
115,159760
119,22543496
123,13588356
126,186074
127,6562380
128,17288661
130,64222
134,27003
138,15839976
144,759945
148,7015635
149,315425
150,6334
152,166997
154,17563539
155,139069
156,18170143
157,10335318
161,22609522
165,18736925
166,68143
171,4866
172,23158207
174,22034
176,22318578
178,24189224
182,15704307
183,22551730
186,22816087
188,92364
189,7562764
192,17333324
195,685401
197,22557272
199,9151181
201,17910054
204,25019
205,102030
206,10872085
207,18144124
209,50365
211,11093329
218,6882
220,21413662
223,18176747
224,21856367
228,18050143
229,16304
230,20897517
232,18667945
233,17855756
234,17306293
235,16158596
236,18214414
245,11012
247,318431
251,17860739
252,20604826
254,1027760
255,17333223
257,5064
259,231850
260,13642
261,17262366
269,7132363
271,460548
273,18774020
277,146274
281,13722902
284,17660462
285,31196
289,77507
290,4948
293,48019
294,6759
295,767171
297,8908
299,61886
300,15803037
301,16160797
307,13526165
310,99219
313,809849
317,16071764
319,15801967
320,6486483
322,3977
325,17212231
328,13588394
329,773858
331,180116
332,13453029
334,11869272
337,45546
338,18765
340,6411016
361,77565
365,6289283
369,11468377
370,13538873
372,13163846
374,6257535
375,92160
376,159178
378,13239822
380,13414676
381,9850443
382,13425570
383,7315573
384,23772
387,12609433
389,24113
400,19321
406,28815
407,10644930
410,8664353
411,7632329
412,8520610
416,10127019
417,9418327
419,3973
423,1852
424,588138
425,10256723
427,10572
428,130580
430,62291
432,295961
433,175675
436,21484
438,370493
439,8127
440,569564
441,3590
442,99107
443,157993
444,862041
446,9969571
449,7148931
450,16286
451,10552338
453,9938498
455,132900
456,831635
458,18116
459,33
460,2998
461,7613
468,29579
475,6101138
476,8689913
477,7141642
484,6496815
486,433567
488,6452796
490,211099
493,7905092
498,18989
499,19000
507,1301
512,6828896
516,6597651
522,164154
524,2429135
528,2054
