book_id,work_id,title,original_title,authors,author_ids,publisher,publication_year,original_publication_year,language_code,isbn,isbn13,format,num_pages,estimated_word_count,word_count_source,average_rating,ratings_count,text_reviews_count,work_ratings_count,work_text_reviews_count,rating_5_count,rating_4_count,rating_3_count,rating_2_count,rating_1_count,rating_total_count,genres,top_shelves,description,url,image_url
1,41335427,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",Harry Potter and the Half-Blood Prince,J.K. Rowling; Mary GrandPré,1077326; 2927,Scholastic Inc.,2006,2005,eng,0439785960,9780439785969,Paperback,652,179300,estimated_from_pages_275_words_per_page,4.54,1680064,22133,1787108,27548,1162549,459309,136413,21524,7313,1787108,fiction; fantasy; science_fiction; romance; mystery_thriller_crime; young_adult,to-read:167697; fantasy:37174; favorites:34173; currently-reading:12986; young-adult:12716; fiction:9954; harry-potter:7169; books-i-own:6221; owned:4974; ya:4364; series:3857; favourites:3456; magic:3374; childrens:2408; owned-books:1881; re-read:1821; adventure:1742; children:1560; j-k-rowling:1309; children-s:1095,"The war against Voldemort is not going well: even Muggle governments are noticing. Ron scans the obituary pages of The Daily Prophet looking for familiar names. Dumbledore is absent from Hogwarts for long stretches of time, and the Order of the Phoenix has already suffered losses. And yet... As in all wars, life goes on. Sixth-year students learn to Apparate, and lose a few eyebrows in the process. The Weasley twins expand their business. Teenagers flirt and fight and fall in love. Classes are never straightforward, though Harry receives some extraordinary help from the mysterious Half-Blood Prince. So it's the home front that takes center stage in the multilayered sixth installment of the story of Harry Potter. Harry struggles to uncover the identity of the Half-Blood Prince, the past owner of a potions textbook he now possesses that is filled with ingenious, potentially deadly, spells. But Harry's life is suddenly changed forever when someone close to him is heinously murdered right before his eyes. With Dumbledore's guidance, he seeks out the full, complex story of the boy who became Lord Voldemort, and thereby attempts to find what may be his only vulnerability. --scholastic.com",https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,https://images.gr-assets.com/books/1361039191m/1.jpg
10,21457570,"Harry Potter Collection (Harry Potter, #1-6)","Harry Potter Collection (Harry Potter, #1-6)",J.K. Rowling,1077326,Scholastic,2005,2005,eng,0439827604,9780439827607,Hardcover,3342,919050,estimated_from_pages_275_words_per_page,4.73,24634,757,26291,882,21063,3891,948,186,203,26291,fiction; fantasy; science_fiction; mystery_thriller_crime; young_adult; children,to-read:3226; favorites:330; fantasy:253; currently-reading:127; fiction:84; harry-potter:79; young-adult:78; magic:33; ya:31; series:25; childrens:19; children:18; books-i-own:18; adventure:18; shelfari-favorites:16; favourites:13; owned-books:10; fantasy-sci-fi:10; re-read:9; classics:9,"Six years of magic, adventure, and mystery make this luxurious boxed set the perfect gift for Harry Potter fans of all ages. Follow Harry from his first days at Hogwarts School for Witchcraft and Wizardry, through his many adventures with Hermione and Ron, to his confrontations with rival Draco Malfoy and the dreaded Professor Snape. From the thrilling search for the Sorcerer's Stone to the Triwizard Tournament to the return of He-Who-Must-Not-Be-Named, each adventure is more riveting and exhilarating than its predecessor, and now all six books are available together for the first time in an elegant hardcover boxed set.",https://www.goodreads.com/book/show/10.Harry_Potter_Collection,https://images.gr-assets.com/books/1328867351m/10.jpg
10006,3011932,Oracle Night,Oracle Night,Paul Auster,296961,Henry Holt,2003,2004,eng,0965913228,9780965913225,,245,67375,estimated_from_pages_275_words_per_page,3.77,8830,405,11113,637,2432,4658,3201,684,138,11113,fiction; fantasy; mystery_thriller_crime,to-read:4936; fiction:284; currently-reading:140; rory-gilmore-reading-challenge:113; favorites:80; rory-gilmore-challenge:60; contemporary:51; rory-gilmore:50; paul-auster:45; american:45; rory-gilmore-reading-list:40; gilmore-girls:36; owned:33; literature:33; novels:32; novel:29; library:28; literary-fiction:27; american-literature:25; mystery:25,"The discovery of a mysterious notebook turns a man's life upside-down in this compulsively readable novel by 'one of the great writers of our time' ( San Francisco Chronicle ). Several months into his recovery from a near-fatal illness, novelist Sidney Orr enters a stationery shop in Brooklyn and buys a blue notebook. It is September 18, 1982, and for the next nine days Orr will live under the spell of this blank book, trapped inside a world of eerie premonitions and bewildering events that threaten to destroy his marriage and undermine his faith in reality. Paul Auster's mesmerizing eleventh novel reads like an old-fashioned ghost story. But there are no ghosts in this book - only flesh-and-blood human beings, wandering through the haunted realms of everyday life. Oracle Night is a narrative tour de force that confirms Auster's reputation as one of the boldest, most original writers at work in America today.",https://www.goodreads.com/book/show/10006.Oracle_Night,https://images.gr-assets.com/books/1328287302m/10006.jpg
1000751,1099715,"Pollyanna (Pollyanna, #1)",Pollyanna,Eleanor H. Porter,10673,Aladdin,2002,1912,eng,0689849109,9780689849107,Paperback,304,83600,estimated_from_pages_275_words_per_page,3.95,56586,1012,61299,1425,22223,19621,14710,3434,1311,61299,fiction; romance; young_adult; children; history_biography; classics,to-read:16242; classics:1041; childrens:361; fiction:351; currently-reading:342; children:289; favorites:275; classic:215; children-s:198; young-adult:180; children-s-books:136; childhood:113; owned:108; books-i-own:99; historical-fiction:93; kindle:80; childrens-books:80; kids:72; favourites:63; ya:59,"When orphaned 11-year-old Pollyanna comes to live with austere and wealthy Aunt Polly, her philosophy of gladness brings happiness to her aunt and other members of the community, somewhat to their surprise.",https://www.goodreads.com/book/show/1000751.Pollyanna,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
10008056,14903228,"Journal 64 (Afdeling Q, #4)",Journal 64,Jussi Adler-Olsen,1734716,Politikens forlag,2010,2010,dan,8756795459,9788756795456,Paperback,462,127050,estimated_from_pages_275_words_per_page,4.04,5047,210,12038,996,3617,5757,2253,316,95,12038,fiction; mystery_thriller_crime,to-read:256; default:50; currently-reading:47; krimi:42; crime:40; mystery:39; favorites:38; jussi-adler-olsen:35; denmark:35; fiction:32; owned:31; nordic-noir:29; thriller:28; books-i-own:26; kindle:24; detective:24; ebook:23; library:22; thrillers:20; read-2015:19,"Indtil for blot 40 år siden blev utilpassede eller blot uheldige danske kvinder deporteret til en lille ø, hvor ondskab, misrøgt og torturlignende metoder blev brugt til at holde orden. Hertil kom Nete Hermansen, og her fra slap hun væk: Troede hun. Den dag fortiden indhentede hende, blev det starten på en af Afdeling Q’s mest komplicerede sager. Hvad gemmer hendes fortid? Hvad hændte der hende? Hvor forsvandt menneskene omkring hende hen? Og hvem stod bag? Skønt vicepolitikommissær Carl Mørck har rigeligt at se til med en mordefterforskning, han måske var involveret i og med et privatliv, der ikke helt spiller, presser hans to stædige assistenter ham til at genåbne den sag, der for 23 år siden udspillede sig med voldsomme konsekvenser for de implicerede. Snart går det op for det lille efterforskningsteam, at sagen blot er en lille flig af noget større, der handler om overgreb af den allergroveste slags. Overgreb, som tilsyneladende stadig finder sted. Stille, roligt og indædt går opklaringsarbejdet i gang, og det kommer til at tære på Carl, ikke mindst fordi hans, Roses og Assads engagement i sagen bliver livsfarligt. Og da Carl endelig mener at vide, hvordan tingene hænger sammen, melder en ny og meget koldblodig spiller sig på banen.",https://www.goodreads.com/book/show/10008056-journal-64,https://images.gr-assets.com/books/1424299324m/10008056.jpg
10009,691697,Homo Faber,Homo faber: Ein Bericht,Max Frisch,6530,,,1957,eng,0156421356,9780156421355,,,,,3.75,9411,191,12110,340,3391,4266,2887,1112,454,12110,fiction; romance; classics,classics:225; fiction:202; currently-reading:166; german:164; favorites:119; to-read:96; 1001-books:81; german-literature:72; deutsch:68; school:58; 1001:53; literature:45; novels:40; klassiker:39; classic:38; default:38; read-in-german:37; owned:36; books-i-own:33; swiss:31,"Walter Faber, engineer, is a man for whom only the tangible, calculable, verifiable exists. Dubbed Homo Faber (Man the Maker) by associates, he is devoted to the service of a purely technological world. This devoted service is not, however, without cost: on a flight to South America Faber succumbs to what he interprets as ""fatigue phenomena,"" and we see him lose touch with reality. A return to New York and to his American mistress only convinces him of a need for further rest. Accordingly he boards a ship for Europe, where he encounters a girl who, for reasons of which he is unaware, strongly attracts him. They travel together to France, Italy, and finally Greece, where chance and fate, in an ironic twist on a theme of classic tragedy, make a blind man see.",https://www.goodreads.com/book/show/10009.Homo_Faber,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1001896,818039,The Real Mother Goose,The Real Mother Goose,Blanche Fisher Wright,48966,Cartwheel,1994,1916,,0590225170,9780590225175,Hardcover,128,35200,estimated_from_pages_275_words_per_page,4.33,31651,219,32055,255,17980,8056,4914,830,275,32055,fiction; fantasy; young_adult; children; poetry; classics,to-read:656; kids:94; currently-reading:92; childhood:47; favorites:41; picture-books:32; fiction:26; classics:25; poetry:25; owned:25; childhood-favorites:25; children-s-books:24; fantasy:24; nursery-rhymes:23; childrens:20; kids-books:19; children:18; children-s-lit:18; children-s-literature:18; childrens-books:16,"For nearly a century, The Real Mother Goose® has delighted young children! For more than seventy-five years THE REAL MOTHER GOOSE has been delighting millions of children, and today the magic is as strong as ever. Heralded as the ""standard"" Mother Goose by parents, grandparents, teachers, and librarians, this wonderful book with Blanche Fisher Wright's lively, colorful pictures makes an enchanting introduction for the very young. Mother Goose rhymes are a vital part of childhood. And this collection of essential rhymes have been reproduced exactly as they have been repeated from generation to generation.",https://www.goodreads.com/book/show/1001896.The_Real_Mother_Goose,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
100247,96659,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Rolf Potts,57862,,,2002,eng,0812992180,9780812992182,,205,56375,estimated_from_pages_275_words_per_page,3.92,13146,800,14045,837,4668,4993,3246,862,276,14045,fiction; history_biography; nonfiction,to-read:8961; travel:914; currently-reading:774; non-fiction:334; nonfiction:108; favorites:106; adventure:50; philosophy:47; wanderlust:42; self-help:38; kindle:29; to-buy:25; self-improvement:24; owned:23; personal-development:22; tim-ferriss:21; lifestyle:20; ebook:17; travel-writing:17; audible:15,"Vagabonding is about taking time off from your normal life - from six weeks to four months to two years - to discover and experience the world on your own terms. Veteran shoestring traveler Rolf Potts shows how anyone armed with an independent spirit can achieve the dream of extended overseas travel. Potts gives the necessary information on: - financing your travel time - determining your destination - adjusting to life on the road - working and volunteering overseas - handling travel adversity - re-assimilating back into ordinary life Not just a plan of action, vagabonding is an outlook on life that emphasizes creativity, discovery, and the growth of the spirit. Visit the vagabonding community's hub at www.vagabonding.net .",https://www.goodreads.com/book/show/100247.Vagabonding,https://images.gr-assets.com/books/1320532720m/100247.jpg
10025305,6674845,"Clockwork Prince (The Infernal Devices, #2)",Clockwork Prince,Cassandra Clare,150038,"Simon & Schuster, Margaret K. McElderry",2011,2011,eng,1416975888,9781416975885,Hardcover,502,138050,estimated_from_pages_275_words_per_page,4.46,308345,15408,328398,17870,203476,85694,29550,6247,3431,328398,fiction; fantasy; science_fiction; romance; mystery_thriller_crime; young_adult,to-read:156839; favorites:11423; fantasy:5260; currently-reading:4662; young-adult:4189; books-i-own:2342; ya:1963; paranormal:1738; romance:1725; steampunk:1535; owned:1288; favourites:1211; series:1163; cassandra-clare:1163; historical-fiction:929; angels:832; vampires:794; urban-fantasy:753; owned-books:610; fiction:609,"In the magical underworld of Victorian London, Tessa Gray has at last found safety with the Shadowhunters. But that safety proves fleeting when rogue forces in the Clave plot to see her protector, Charlotte, replaced as head of the Institute. If Charlotte loses her position, Tessa will be out on the street—and easy prey for the mysterious Magister, who wants to use Tessa’s powers for his own dark ends. With the help of the handsome, self-destructive Will and the fiercely devoted Jem, Tessa discovers that the Magister’s war on the Shadowhunters is deeply personal. He blames them for a long-ago tragedy that shattered his life. To unravel the secrets of the past, the trio journeys from mist-shrouded Yorkshire to a manor house that holds untold horrors, from the slums of London to an enchanted ballroom where Tessa discovers that the truth of her parentage is more sinister than she had imagined. When they encounter a clockwork demon bearing a warning for Will, they realize that the Magister himself knows their every move—and that one of their own has betrayed them. Tessa finds her heart drawn more and more to Jem, but her longing for Will, despite his dark moods, continues to unsettle her. But something is changing in Will—the wall he has built around himself is crumbling. Could finding the Magister free Will from his secrets and give Tessa the answers about who she is and what she was born to do? As their dangerous search for the Magister and the truth leads the friends into peril, Tessa learns that when love and lies are mixed, they can corrupt even the purest heart.",https://www.goodreads.com/book/show/10025305-clockwork-prince,https://images.gr-assets.com/books/1460477747m/10025305.jpg
10031,12776,The Wall,Le Mur,Jean-Paul Sartre,1466,Hesperus Press,2005,1939,eng,184391400X,9781843914006,,183,50325,estimated_from_pages_275_words_per_page,4.07,12196,224,15583,452,5630,6240,3033,524,156,15583,fiction; history_biography; classics; nonfiction,to-read:6367; currently-reading:191; philosophy:138; fiction:116; short-stories:99; favorites:78; french:72; classics:64; french-literature:42; owned:31; existentialism:24; psychology:23; france:22; to-buy:22; favourites:16; short-story:15; sartre:15; plays:15; default:14; books-i-own:13,"'The Wall', the lead story in this collection, introduces three political prisoners on the night prior to their execution. Through the gaze of an impartial doctor--seemingly there for the men's solace--their mental descent is charted in exquisite, often harrowing detail. And as the morning draws inexorably closer, the men cross the psychological wall between life and death, long before the first shot rings out. This brilliant snapshot of life in anguish is the perfect introduction to a collection of stories where the neurosis of the modern world is mirrored in the lives of the people that inhabit it.",https://www.goodreads.com/book/show/10031.The_Wall,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
100322,943760,Assata: An Autobiography,Assata: An Autobiography,Assata Shakur; Angela Y. Davis; Lennox S. Hinds,57925; 5863103; 485757,,,1987,eng,1556520743,9781556520747,,274,75350,estimated_from_pages_275_words_per_page,4.48,10536,550,10750,572,6869,2637,882,218,144,10750,fiction; history_biography; comics_graphic; poetry; classics; nonfiction,to-read:11114; currently-reading:339; non-fiction:212; biography:137; nonfiction:135; memoir:111; feminism:108; favorites:94; history:90; race:83; politics:57; african-american:52; autobiography:51; memoirs:49; biographies:42; social-justice:34; biography-memoir:28; to-buy:21; owned:18; books-i-own:16,"On May 2, 1973, Black Panther Assata Shakur (aka JoAnne Chesimard) lay in a hospital, close to death, handcuffed to her bed, while local, state, and federal police attempted to question her about the shootout on the New Jersey Turnpike that had claimed the life of a white state trooper. Long a target of J. Edgar Hoover's campaign to defame, infiltrate, and criminalize Black nationalist organizations and their leaders, Shakur was incarcerated for four years prior to her conviction on flimsy evidence in 1977 as an accomplice to murder. This intensely personal and political autobiography belies the fearsome image of JoAnne Chesimard long projected by the media and the state. With wit and candor, Assata Shakur recounts the experiences that led her to a life of activism and portrays the strengths, weaknesses, and eventual demise of Black and White revolutionary groups at the hand of government officials. The result is a signal contribution to the literature about growing up Black in America that has already taken its place alongside The Autobiography of Malcolm X and the works of Maya Angelou. Two years after her conviction, Assata Shakur escaped from prison. She was given political asylum by Cuba, where she now resides.",https://www.goodreads.com/book/show/100322.Assata,https://images.gr-assets.com/books/1328857268m/100322.jpg
